started_at,ended_at,duration_seconds,user_messages,assistant_messages,tool_calls,known_total_tokens,estimated_total_tokens,limit_event_count,ended_after_limit_event
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
,,0,0,0,0,0,0,0,false
